20140506_01/014 1 -0.04854,-0.30825,-0.35437,-0.38835,-0.41748,-0.44417,-0.46845,-0.49029,-0.50971,-0.52670,-0.53883,-0.55097,-0.56068,-0.57039,-0.57767,-0.58495,-0.58981,-0.59466,-0.59951,-0.60437,-0.60680,-0.61165,-0.61408,-0.61650,-0.61893,-0.62136,-0.62136,-0.62379,-0.62379,-0.62379,-0.62621,-0.62621,-0.62621,-0.62621,-0.62379,-0.62379,-0.62379,-0.62136,-0.62136,-0.61893,-0.61893,-0.61650,-0.61408,-0.61408,-0.61165,-0.60922,-0.60437,-0.60194,-0.59951,-0.59466,-0.58981,-0.58495,-0.58010,-0.57767,-0.57039,-0.56311,-0.54854,-0.52913,-0.51214,-0.49515,-0.47816,-0.45874,-0.43447,-0.41019 0.02427,-0.23786,-0.26456,0.14563,0.14320,0.11165,0.08981,0.06796,0.03883,-0.01456,-0.01699,-0.04612,-0.08981,-0.08981,-0.08981,-0.09223,-0.09951,-0.07767,-0.07767,-0.07767,-0.09466,-0.09709,-0.09709,-0.11893,-0.11893,-0.12379,-0.16990,-0.19660,-0.22573,-0.24029,-0.24029,-0.29126,-0.33981,-0.35680,-0.35680,-0.35680,-0.35680,-0.35680,-0.35680,-0.37379,-0.38835,-0.39320,-0.39563,-0.39806,-0.41990,-0.45146,-0.45388,-0.45631,-0.45874,-0.49272,-0.51214,-0.51214,-0.51699,-0.51699,-0.50485,-0.50243,-0.48786,-0.46845,-0.43932,-0.43447,-0.41505,-0.39806,-0.36408,-0.33738
20140506_01/014 2 -0.04854,-0.30825,-0.35437,-0.38835,-0.41748,-0.44417,-0.46845,-0.49029,-0.50971,-0.52670,-0.54126,-0.55097,-0.56068,-0.57039,-0.57767,-0.58495,-0.58981,-0.59466,-0.59951,-0.60437,-0.60922,-0.61165,-0.61408,-0.61650,-0.61893,-0.62136,-0.62136,-0.62379,-0.62379,-0.62379,-0.62621,-0.62621,-0.62621,-0.62621,-0.62379,-0.62379,-0.62379,-0.62136,-0.62136,-0.61893,-0.61893,-0.61650,-0.61408,-0.61408,-0.61165,-0.60922,-0.60680,-0.60194,-0.59951,-0.59466,-0.59223,-0.58738,-0.58252,-0.58010,-0.57524,-0.56796,-0.55340,-0.53398,-0.51699,-0.50000,-0.48301,-0.46359,-0.44175,-0.41505 0.16505,-0.04369,-0.10922,0.14563,0.14320,0.11165,0.08738,0.05340,0.03883,-0.01456,-0.04369,-0.04612,-0.06553,-0.08981,-0.08981,-0.09223,-0.09709,-0.07767,-0.07767,-0.07767,-0.09466,-0.09709,-0.09951,-0.10194,-0.11893,-0.12379,-0.16748,-0.19903,-0.22573,-0.24029,-0.24272,-0.29126,-0.33981,-0.35437,-0.35680,-0.35680,-0.35680,-0.35680,-0.37864,-0.37864,-0.38835,-0.39320,-0.40049,-0.41990,-0.42476,-0.45146,-0.45388,-0.45631,-0.48786,-0.49757,-0.50243,-0.50243,-0.50485,-0.50485,-0.50243,-0.50243,-0.48786,-0.46845,-0.43447,-0.43204,-0.42233,-0.39563,-0.37621,-0.33981
20140506_01/014 3 -0.04854,-0.31068,-0.35437,-0.38835,-0.41748,-0.44417,-0.46845,-0.49029,-0.50971,-0.52670,-0.54126,-0.55097,-0.56311,-0.57039,-0.57767,-0.58495,-0.58981,-0.59709,-0.59951,-0.60437,-0.60922,-0.61165,-0.61408,-0.61650,-0.61893,-0.62136,-0.62136,-0.62379,-0.62379,-0.62379,-0.62621,-0.62621,-0.62621,-0.62621,-0.62379,-0.62379,-0.62379,-0.62136,-0.62136,-0.61893,-0.61893,-0.61650,-0.61408,-0.61408,-0.61165,-0.60922,-0.60680,-0.60437,-0.59951,-0.59709,-0.59223,-0.58981,-0.58495,-0.58252,-0.58010,-0.57282,-0.56068,-0.54126,-0.52184,-0.50485,-0.48786,-0.46602,-0.44660,-0.41990 0.14078,-0.02427,-0.06553,0.14320,0.11893,0.11165,0.06796,0.05097,0.03398,-0.03883,-0.03883,-0.03883,-0.06796,-0.08981,-0.09466,-0.09709,-0.09709,-0.08010,-0.08010,-0.08010,-0.08981,-0.08981,-0.08981,-0.10680,-0.12136,-0.12864,-0.16990,-0.19903,-0.23301,-0.23544,-0.24515,-0.29369,-0.33981,-0.35437,-0.35680,-0.35680,-0.35680,-0.35680,-0.37379,-0.38592,-0.39563,-0.39563,-0.40777,-0.42476,-0.42476,-0.44175,-0.45388,-0.46117,-0.48544,-0.50243,-0.50485,-0.50728,-0.50728,-0.50728,-0.50485,-0.49757,-0.49515,-0.46845,-0.44417,-0.44175,-0.42961,-0.39806,-0.37379,-0.35922
20140506_01/014 4 -0.04854,-0.31068,-0.35437,-0.38835,-0.41748,-0.44417,-0.46845,-0.49029,-0.50971,-0.52670,-0.54126,-0.55340,-0.56311,-0.57039,-0.57767,-0.58495,-0.58981,-0.59709,-0.59951,-0.60437,-0.60922,-0.61165,-0.61408,-0.61650,-0.61893,-0.62136,-0.62136,-0.62379,-0.62379,-0.62379,-0.62621,-0.62621,-0.62621,-0.62621,-0.62379,-0.62379,-0.62379,-0.62136,-0.62136,-0.61893,-0.61893,-0.61650,-0.61408,-0.61408,-0.61165,-0.60922,-0.60680,-0.60437,-0.60194,-0.59709,-0.59223,-0.58981,-0.58738,-0.58495,-0.58495,-0.57767,-0.56796,-0.54612,-0.52670,-0.50728,-0.49029,-0.47087,-0.45146,-0.42476 0.13592,-0.04369,-0.06553,0.11893,0.09223,0.09466,0.05340,0.04854,0.03398,-0.04854,-0.05097,-0.05097,-0.05583,-0.07039,-0.09466,-0.09709,-0.09709,-0.09223,-0.08495,-0.08738,-0.08981,-0.08981,-0.08981,-0.10922,-0.13107,-0.13592,-0.16019,-0.20146,-0.23544,-0.24515,-0.24757,-0.29854,-0.34223,-0.34223,-0.35680,-0.35680,-0.35680,-0.35922,-0.37621,-0.38107,-0.39320,-0.39806,-0.41262,-0.42718,-0.44175,-0.44417,-0.45874,-0.46359,-0.48301,-0.49272,-0.51214,-0.51214,-0.51214,-0.51214,-0.51214,-0.50971,-0.50728,-0.47573,-0.44417,-0.44175,-0.41990,-0.40049,-0.37379,-0.36408
20140506_01/014 5 -0.05097,-0.31068,-0.35437,-0.38835,-0.41748,-0.44417,-0.47087,-0.49029,-0.50971,-0.52670,-0.54126,-0.55340,-0.56311,-0.57039,-0.57767,-0.58495,-0.59223,-0.59709,-0.60194,-0.60437,-0.60922,-0.61165,-0.61408,-0.61650,-0.61893,-0.62136,-0.62136,-0.62379,-0.62379,-0.62379,-0.62621,-0.62621,-0.62621,-0.62621,-0.62379,-0.62379,-0.62379,-0.62136,-0.62136,-0.61893,-0.61893,-0.61650,-0.61408,-0.61408,-0.61165,-0.60922,-0.60680,-0.60437,-0.60194,-0.59709,-0.59466,-0.59223,-0.58981,-0.58738,-0.58495,-0.58010,-0.57282,-0.55340,-0.53155,-0.51214,-0.49515,-0.47816,-0.45631,-0.43204 0.10680,-0.02184,-0.06068,0.10922,0.07524,0.07524,0.02670,0.02184,0.02184,-0.04854,-0.04854,-0.04854,-0.05340,-0.06796,-0.08738,-0.09951,-0.09951,-0.09709,-0.09709,-0.09223,-0.08981,-0.08981,-0.08981,-0.10922,-0.12621,-0.14078,-0.16262,-0.20631,-0.22330,-0.24515,-0.25000,-0.30097,-0.34709,-0.35194,-0.35437,-0.35437,-0.37136,-0.37379,-0.37621,-0.38350,-0.40534,-0.41262,-0.41748,-0.42233,-0.44175,-0.45388,-0.45874,-0.47330,-0.47816,-0.49029,-0.51456,-0.51699,-0.51942,-0.51942,-0.51699,-0.51214,-0.50971,-0.49272,-0.45631,-0.45146,-0.41990,-0.40049,-0.39806,-0.37136
20140506_01/014 6 -0.05097,-0.31068,-0.35437,-0.38835,-0.41990,-0.44660,-0.47087,-0.49272,-0.50971,-0.52670,-0.54126,-0.55340,-0.56311,-0.57039,-0.57767,-0.58495,-0.59223,-0.59709,-0.60194,-0.60437,-0.60922,-0.61165,-0.61408,-0.61650,-0.61893,-0.62136,-0.62136,-0.62379,-0.62379,-0.62379,-0.62621,-0.62621,-0.62621,-0.62621,-0.62379,-0.62379,-0.62379,-0.62136,-0.62136,-0.61893,-0.61893,-0.61650,-0.61650,-0.61408,-0.61165,-0.60922,-0.60922,-0.60437,-0.60194,-0.59951,-0.59466,-0.59223,-0.58981,-0.58738,-0.58495,-0.58252,-0.57524,-0.56068,-0.53641,-0.51699,-0.50000,-0.48301,-0.46359,-0.43932 0.10922,-0.01699,-0.06311,0.07767,0.04369,0.05340,0.01699,-0.00485,-0.00728,-0.05583,-0.05340,-0.05340,-0.05583,-0.06796,-0.08252,-0.09951,-0.09951,-0.09951,-0.09951,-0.09951,-0.09951,-0.10194,-0.10194,-0.10680,-0.12864,-0.14563,-0.16748,-0.20388,-0.22573,-0.24272,-0.27670,-0.33010,-0.35194,-0.35437,-0.35437,-0.34951,-0.36893,-0.37621,-0.38350,-0.38350,-0.41019,-0.41748,-0.42718,-0.42961,-0.44660,-0.44903,-0.46845,-0.47087,-0.47816,-0.50243,-0.50485,-0.50728,-0.52670,-0.52670,-0.52427,-0.51456,-0.51214,-0.50000,-0.46117,-0.45388,-0.42233,-0.42233,-0.40291,-0.37864
20140506_01/014 7 -0.05097,-0.31068,-0.35680,-0.39078,-0.41990,-0.44660,-0.47087,-0.49272,-0.51214,-0.52670,-0.54126,-0.55340,-0.56311,-0.57039,-0.57767,-0.58495,-0.59223,-0.59709,-0.60194,-0.60437,-0.60922,-0.61165,-0.61408,-0.61650,-0.61893,-0.62136,-0.62136,-0.62379,-0.62379,-0.62379,-0.62621,-0.62621,-0.62621,-0.62621,-0.62379,-0.62379,-0.62379,-0.62136,-0.62136,-0.61893,-0.61893,-0.61650,-0.61650,-0.61408,-0.61165,-0.60922,-0.60922,-0.60680,-0.60437,-0.59951,-0.59709,-0.59466,-0.58981,-0.58738,-0.58495,-0.58252,-0.57767,-0.56796,-0.54612,-0.52427,-0.50485,-0.48786,-0.46845,-0.44417 0.11650,-0.00485,-0.04854,0.07524,0.03641,0.03155,0.01456,-0.01942,-0.02184,-0.05340,-0.05097,-0.05340,-0.06796,-0.07282,-0.07767,-0.09223,-0.09223,-0.09223,-0.09223,-0.09223,-0.09466,-0.11165,-0.11408,-0.11650,-0.12621,-0.14806,-0.17233,-0.20631,-0.24272,-0.24515,-0.28641,-0.35437,-0.35437,-0.35437,-0.35437,-0.35437,-0.35680,-0.37864,-0.38350,-0.39078,-0.41262,-0.42476,-0.42718,-0.42718,-0.44660,-0.44660,-0.46845,-0.47330,-0.48058,-0.49757,-0.50243,-0.50728,-0.51214,-0.51214,-0.51214,-0.51214,-0.51214,-0.50728,-0.46602,-0.46359,-0.44417,-0.42233,-0.40534,-0.38592
20140506_01/014 8 -0.05097,-0.31068,-0.35680,-0.39078,-0.41990,-0.44660,-0.47087,-0.49272,-0.51214,-0.52670,-0.54126,-0.55340,-0.56311,-0.57282,-0.58010,-0.58495,-0.59223,-0.59709,-0.60194,-0.60437,-0.60922,-0.61165,-0.61408,-0.61650,-0.61893,-0.62136,-0.62136,-0.62379,-0.62379,-0.62379,-0.62621,-0.62621,-0.62621,-0.62621,-0.62379,-0.62379,-0.62379,-0.62379,-0.62136,-0.62136,-0.61893,-0.61650,-0.61650,-0.61408,-0.61165,-0.61165,-0.60922,-0.60680,-0.60437,-0.59951,-0.59709,-0.59466,-0.59223,-0.58981,-0.58738,-0.58495,-0.58010,-0.57282,-0.55340,-0.53155,-0.51214,-0.49272,-0.47573,-0.45146 0.11893,0.00243,-0.03155,0.07282,0.03641,0.03155,0.01456,-0.02427,-0.02427,-0.05097,-0.05097,-0.06553,-0.06553,-0.08252,-0.08738,-0.08981,-0.08981,-0.09223,-0.09223,-0.09223,-0.09709,-0.11650,-0.11650,-0.11893,-0.12864,-0.15777,-0.19175,-0.24029,-0.26456,-0.25728,-0.29612,-0.35680,-0.35680,-0.35437,-0.35680,-0.35922,-0.35922,-0.37864,-0.38350,-0.38592,-0.42233,-0.42476,-0.42476,-0.42718,-0.44903,-0.46117,-0.46602,-0.46845,-0.49029,-0.49515,-0.49757,-0.51699,-0.51699,-0.51699,-0.51942,-0.52427,-0.50485,-0.50243,-0.46117,-0.45874,-0.44175,-0.41262,-0.41019,-0.39078
20140506_01/014 9 -0.05097,-0.31068,-0.35680,-0.39078,-0.41990,-0.44660,-0.47087,-0.49272,-0.51214,-0.52913,-0.54126,-0.55340,-0.56311,-0.57282,-0.58010,-0.58495,-0.59223,-0.59709,-0.60194,-0.60437,-0.60922,-0.61165,-0.61408,-0.61650,-0.61893,-0.62136,-0.62136,-0.62379,-0.62379,-0.62621,-0.62621,-0.62621,-0.62621,-0.62621,-0.62621,-0.62379,-0.62379,-0.62379,-0.62136,-0.62136,-0.61893,-0.61650,-0.61650,-0.61408,-0.61165,-0.61165,-0.60922,-0.60680,-0.60437,-0.60194,-0.59709,-0.59466,-0.59223,-0.58981,-0.58738,-0.58495,-0.58252,-0.57524,-0.56068,-0.53883,-0.51942,-0.50000,-0.48301,-0.45874 0.12136,0.02913,-0.01214,0.07524,0.04369,0.02913,0.01214,-0.01456,-0.04369,-0.05340,-0.06796,-0.07039,-0.08252,-0.08252,-0.08252,-0.08252,-0.08252,-0.10194,-0.10194,-0.10194,-0.10194,-0.11893,-0.11893,-0.12136,-0.14320,-0.15777,-0.20631,-0.24272,-0.26699,-0.25485,-0.29612,-0.35680,-0.35922,-0.35922,-0.35922,-0.35922,-0.36165,-0.38350,-0.40291,-0.40534,-0.42476,-0.42961,-0.42961,-0.44660,-0.44903,-0.46117,-0.47573,-0.47816,-0.47816,-0.49757,-0.50000,-0.52427,-0.52427,-0.52670,-0.52670,-0.52427,-0.50485,-0.50485,-0.48301,-0.46117,-0.45874,-0.41990,-0.41990,-0.39806
20140506_01/014 10 -0.05097,-0.31311,-0.35680,-0.39078,-0.41990,-0.44660,-0.47087,-0.49272,-0.51214,-0.52913,-0.54126,-0.55340,-0.56311,-0.57282,-0.58010,-0.58495,-0.59223,-0.59709,-0.60194,-0.60437,-0.60922,-0.61165,-0.61408,-0.61650,-0.61893,-0.62136,-0.62136,-0.62379,-0.62379,-0.62621,-0.62621,-0.62621,-0.62621,-0.62621,-0.62621,-0.62379,-0.62379,-0.62379,-0.62136,-0.62136,-0.61893,-0.61893,-0.61650,-0.61408,-0.61165,-0.61165,-0.60922,-0.60680,-0.60437,-0.60194,-0.59709,-0.59466,-0.59223,-0.58981,-0.58738,-0.58738,-0.58495,-0.57767,-0.56796,-0.54612,-0.52670,-0.50728,-0.48786,-0.46602 0.13350,0.00243,-0.00243,0.07039,0.05097,0.04369,0.01699,-0.01214,-0.04612,-0.04854,-0.06796,-0.07039,-0.08010,-0.08252,-0.08252,-0.08252,-0.08495,-0.09951,-0.09951,-0.09951,-0.10194,-0.11893,-0.12136,-0.12379,-0.15049,-0.16262,-0.20631,-0.24029,-0.24757,-0.25728,-0.30097,-0.35680,-0.35922,-0.35922,-0.36165,-0.37864,-0.37864,-0.38592,-0.40777,-0.40777,-0.42476,-0.44175,-0.44417,-0.44660,-0.44660,-0.46117,-0.47573,-0.48058,-0.49029,-0.50971,-0.50971,-0.50971,-0.52427,-0.52913,-0.52670,-0.52670,-0.51214,-0.51214,-0.50728,-0.48058,-0.46117,-0.41990,-0.41748,-0.40049
